timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Thu Aug  8 15:42:09 2024,0,0,0,0
Thu Aug  8 15:42:11 2024,0,0,0,0
Thu Aug  8 15:42:12 2024,0,0,0,0
Thu Aug  8 15:42:14 2024,0,0,0,0
Thu Aug  8 15:42:16 2024,0,0,0,0
Thu Aug  8 15:42:17 2024,0,0,0,0
Thu Aug  8 15:42:19 2024,0,0,0,0
Thu Aug  8 15:42:21 2024,0,0,0,0
Thu Aug  8 15:42:22 2024,0,0,0,0
Thu Aug  8 15:42:24 2024,0,0,0,0
Thu Aug  8 15:42:25 2024,0,0,0,0
Thu Aug  8 15:42:27 2024,0,0,0,0
Thu Aug  8 15:42:29 2024,0,0,0,0
Thu Aug  8 15:42:30 2024,0,0,0,0
Thu Aug  8 15:42:32 2024,0,0,0,0
Thu Aug  8 15:42:34 2024,0,0,0,0
Thu Aug  8 15:42:35 2024,0,0,0,0
